timestamp,Serena Villata,François Hug,Cornelia Meinert,Pr Gauci,Jean-Baptiste Caillau,Lise Arena,Cédric Richard,Agnès Festré
2025-11-17T22:46:57.035Z,0,0,0,0,0,0,0,0
2025-11-17T22:47:27.209Z,0,0,0,0,0,0,0,0
2025-11-17T22:47:57.353Z,0,0,0,0,0,0,0,0
2025-11-17T22:48:27.488Z,0,0,0,0,0,0,0,0
2025-11-17T22:48:57.685Z,0,0,0,0,0,0,0,0
2025-11-17T22:49:27.868Z,0,0,0,0,0,0,0,0
2025-11-17T22:49:59.569Z,323,932,0,1550,0,0,0,0
2025-11-17T22:50:29.757Z,323,932,0,1550,0,0,0,0
2025-11-17T22:50:59.945Z,323,932,0,1550,0,0,0,0
2025-11-17T22:51:30.138Z,323,932,0,1550,0,0,0,0
2025-11-17T22:52:00.269Z,323,932,0,1550,0,0,0,0
2025-11-17T22:52:30.420Z,323,932,0,1550,0,0,0,0
2025-11-17T22:53:00.587Z,323,932,0,1550,0,0,0,0
2025-11-17T22:53:30.740Z,323,932,0,1550,0,0,0,0
2025-11-17T22:54:00.932Z,323,932,0,1550,0,0,0,0
2025-11-17T22:54:43.477Z,323,932,0,1550,1874,223,220,44
2025-11-17T22:55:13.671Z,323,932,0,1550,1874,223,220,44
2025-11-17T22:57:02.205Z,323,932,1758,1550,1874,223,220,44
2025-11-17T22:57:32.380Z,323,932,1758,1550,1874,223,220,44
2025-11-17T22:58:02.526Z,323,932,1758,1550,1874,223,220,44
2025-11-17T22:58:32.722Z,323,932,1758,1550,1874,223,220,44
2025-11-17T22:59:02.872Z,323,932,1758,1550,1874,223,220,44
2025-11-17T22:59:33.036Z,323,932,1758,1550,1874,223,220,44
2025-11-17T23:00:03.220Z,323,932,1758,1550,1874,223,220,44
2025-11-17T23:00:33.369Z,323,932,1758,1550,1874,223,220,44
2025-11-17T23:01:03.516Z,323,932,1758,1550,1874,223,220,44
2025-11-17T23:01:33.680Z,323,932,1758,1550,1874,223,220,44
2025-11-17T23:02:03.861Z,323,932,1758,1550,1874,223,220,44
2025-11-17T23:02:34.024Z,323,932,1760,1550,1874,223,220,44
2025-11-17T23:03:04.204Z,323,932,1763,1550,1874,223,220,44
2025-11-17T23:03:34.389Z,323,932,1766,1550,1874,223,220,44
2025-11-17T23:04:04.517Z,323,932,1769,1550,1874,223,220,44
2025-11-17T23:04:34.665Z,323,932,1771,1550,1874,223,220,44
2025-11-17T23:05:04.822Z,323,932,1774,1550,1874,223,220,44
2025-11-17T23:05:34.968Z,323,932,1776,1550,1874,223,220,44
2025-11-17T23:06:05.115Z,323,932,1779,1550,1874,223,220,44
2025-11-17T23:06:35.293Z,323,932,1782,1550,1874,223,220,44
2025-11-17T23:07:05.460Z,323,932,1785,1550,1874,223,220,44
